method,time_train_s,time_infer_s,time_train_s_per_1K,time_infer_s_per_1K,normalized-error,normalized-error-task,imputed,champ_delta,loss_rescaled,time_train_s_rescaled,time_infer_s_rescaled,rank,median_metric_error,median_time_train_s,median_time_infer_s,median_time_train_s_per_1K,median_time_infer_s_per_1K,median_normalized-error,median_normalized-error-task,median_imputed,median_champ_delta,median_loss_rescaled,median_time_train_s_rescaled,median_time_infer_s_rescaled,median_rank,rank=1_count,rank=2_count,rank=3_count,rank>3_count,elo,elo+,elo-,winrate,mrr
XGB (default),13.003299437317194,0.6573358236574659,3.2763217873435058,0.3062962827156932,0.8606410836839896,0.8472383898308666,0.0,0.14298608751230907,0.13008651179977518,39.750102662431935,19.332008402042312,24.294117647058822,0.21746,6.575343370437622,0.39388179779052734,2.0589472404367264,0.12183857766160212,1.0,1.0,0.0,0.09732207045291152,0.0632886818093575,32.87694416794321,9.490148793740056,25.0,1,0,0,50,1183.9,18.9,24.1,0.4823529411764706,0.06990834430234787
XT (tuned),1293.0170739772273,0.34508594344643984,465.97356682221573,0.17473237760756105,0.8499677897682679,0.8410757463756237,0.0,0.1673833803263075,0.1324553884477586,5360.97691412289,10.510664591668581,25.029411764705884,0.21281,775.4602122306824,0.17961668968200684,191.43562446750065,0.10098353169828128,1.0,1.0,0.0,0.12289592760181012,0.08661653630785078,3382.254534218774,9.053845119655822,29.0,0,2,0,49,1167.7,23.4,22.0,0.46601307189542485,0.07486280008896354
FASTAI (tuned + ensemble),6591.795950641819,16.245619264303468,1342.3410902155488,7.489539632560419,0.8671080429091367,0.8622029838953996,0.0,0.16468876234790633,0.12742338874163406,21804.052352671944,459.2322661590378,25.215686274509803,0.22665,3142.961499929428,10.290910243988037,594.9528585230638,4.650812904660155,1.0,1.0,0.0,0.10209375579025382,0.0868129401727155,17514.935036133815,369.5983579935041,28.0,0,0,0,51,1165.3,22.3,22.1,0.46187363834422657,0.0600345340049654
RF (tuned + ensemble),2227.1437476008546,2.46178646181144,528.9202336737816,1.2212931064922863,0.88480562063212,0.8792546318687967,0.0,0.16430898266646113,0.14144927600842658,6570.203557563642,82.81791093485884,25.568627450980394,0.21651,876.37784075737,1.7210140228271484,377.08301133934634,0.7469802601991967,1.0,1.0,0.0,0.08806938150372812,0.0845151199165799,5196.472002023166,66.34473572972412,27.0,0,1,1,49,1157.8,23.2,24.1,0.45403050108932463,0.0623116962624979
EBM (default),83.37771165604686,0.18329166431053012,10.41915882393762,0.09845206874115144,0.8524530968461776,0.8481167103615108,0.0,0.17396153984706478,0.1531895632660617,128.33936987969741,3.956299459273312,25.892156862745097,0.21098,11.009112119674683,0.06519913673400879,5.48102419993599,0.05915899401478989,1.0,1.0,0.0,0.1212644465105922,0.07181719260065285,66.69318849626488,3.0422808378588053,26.0,1,0,0,50,1152.9,22.6,23.4,0.4468409586056645,0.07260857479461673
GBM (default),9.322186521455354,1.1440442029167623,3.199181885596564,0.3147197775938453,0.8940816937700448,0.8840235963341528,0.0,0.15261676444840067,0.13219708759190854,46.93362314737936,31.99287107427668,25.95098039215686,0.21883,6.97411584854126,0.6232860088348389,2.2021467310523017,0.17114277689525664,1.0,1.0,0.0,0.10076080905548301,0.07712613158180785,26.977037743860404,12.72044936701149,27.0,0,0,0,51,1151.8,19.7,21.9,0.4455337690631808,0.04535207260204332
RF (tuned),2227.1437476008546,0.2597549288880591,528.9202336737816,0.14418858473403337,0.9284087426233132,0.92178161486216,0.0,0.17292552073579012,0.15104209752077302,6570.203557563642,8.720931698010416,27.764705882352942,0.21762,876.37784075737,0.15849757194519043,377.08301133934634,0.09141294871228287,1.0,1.0,0.0,0.11332046274795926,0.10944640481286505,5196.472002023166,7.735832448019426,29.0,0,0,0,51,1112.8,21.0,19.9,0.40522875816993464,0.044763679584876793
FASTAI (tuned),6591.795950641819,1.031626776152966,1342.3410902155488,0.6256477184380718,0.9117018242234555,0.9096892811210481,0.0,0.18102086741621695,0.15197471911220597,21804.052352671944,39.15043952663921,28.49019607843137,0.23007,3142.961499929428,0.8062961101531982,594.9528585230638,0.33651872811068495,1.0,1.0,0.0,0.13059040884116846,0.1011512085941649,17514.935036133815,29.379474918801876,30.0,0,0,1,50,1100.1,23.8,22.1,0.38910675381263615,0.05033037741535875
NN_TORCH (default),73.82550601865731,0.5703827493331012,14.544520367121898,0.24243997995483998,0.9606906806576981,0.9562541497620196,0.0,0.1982615033745938,0.17046506599015823,302.60238317827014,12.920116170611008,31.666666666666668,0.21872,30.76021695137024,0.2736239433288574,8.95763915486452,0.12885630130767822,1.0,1.0,0.0,0.12796036111893505,0.12220480897522226,159.50005812712556,8.385666110468058,33.0,0,0,0,51,1031.0,24.5,24.0,0.31851851851851853,0.035570517545271636
RF (default),5.493931228039312,0.18195290658988206,0.9395711378622816,0.07441601332167096,0.979623284950178,0.9775494111020484,0.0,0.2259111372668083,0.22071787275884605,12.413845548911803,5.3715309875205834,32.931372549019606,0.23701,1.763962745666504,0.09250092506408691,0.4316611380184793,0.05251745318464858,1.0,1.0,0.0,0.16975626521036435,0.15585831773749825,7.440479734614894,4.454035040702154,35.0,0,0,0,51,1000.0,0.0,0.0,0.29041394335511983,0.035917392991207386
FASTAI (default),27.62558492492227,1.0500701642503925,4.982714620465621,0.48138517234406897,0.9615204269534615,0.9599968385376471,0.0,0.22187312252584554,0.19968037020097232,85.33850461343444,31.816885619382305,33.90196078431372,0.23658,14.524733304977417,0.6894059181213379,3.1153293528650394,0.31195542895805195,1.0,1.0,0.0,0.15646970534797477,0.13252589790558383,80.02261780548187,26.24796931235529,36.0,0,0,0,51,976.1,20.5,23.3,0.26884531590413946,0.03271596678453934
XT (default),3.237064623365215,0.20349772771199545,0.7705107029297205,0.07802443108906316,0.9676399952924098,0.9606139149423516,0.0,0.24409804593303483,0.2412686697124173,6.714510413684847,5.481544853676871,34.23529411764706,0.24149,0.9253263473510742,0.08609175682067871,0.25976606260770435,0.0542029349444295,1.0,1.0,0.0,0.174332553882657,0.1548442777574803,5.482206453649765,4.486837961877324,38.0,0,0,0,51,967.3,20.5,25.6,0.26143790849673204,0.03311847756866245
LR (tuned + ensemble),297.7768230718725,1.372081803340538,106.57523410916248,0.517828397925699,0.9783902750382246,0.9783113656414671,0.0,0.3268619436801375,0.3661863188101446,1284.9569849451952,23.77736863105658,37.53921568627451,0.24535,167.935129404068,0.30171775817871094,47.11049555587997,0.15632276260139144,1.0,1.0,0.0,0.2711660718812774,0.25645097260817823,878.5162567525001,9.250054132082282,41.0,1,0,0,50,870.2,25.7,28.5,0.18801742919389977,0.04620175603345997
LR (tuned),297.7768230718725,0.41669238314909096,106.57523410916248,0.1447260883613805,0.9851150726825776,0.9851127426797063,0.0,0.3330782804266457,0.377824402028816,1284.9569849451952,6.250094556288328,38.588235294117645,0.25329,167.935129404068,0.11377191543579102,47.11049555587997,0.0626428060263515,1.0,1.0,0.0,0.274940797173291,0.25645097260817823,878.5162567525001,4.008480462038967,41.5,0,0,1,50,832.3,24.7,24.3,0.16470588235294117,0.032075154816236795
LR (default),7.020498261732214,0.4395605956806856,2.5089988631155826,0.17274864462745904,0.990235200511414,0.9901298670222383,0.0,0.34616346405892345,0.42488314868913807,32.25963024407083,8.287063835475498,39.46078431372549,0.25334,5.345212697982788,0.13631606101989746,1.534023110424607,0.08993275118189932,1.0,1.0,0.0,0.27343206074359794,0.31807101339614474,17.290213667932342,5.167879066497201,42.0,0,0,0,51,799.9,23.2,28.0,0.14531590413943354,0.026703382694263915
KNN (tuned + ensemble),129.77637638765222,6.6349917159361,9.578319752293481,0.5506054195292707,0.990060954897855,0.990185303437072,0.11764705882352941,0.4579414065002137,0.6065269882912842,73.00625608345185,45.17733544160728,41.30392156862745,0.34596,10.405000686645508,0.23362517356872559,2.6097757270537225,0.15550157631257452,1.0,1.0,0.0,0.4299249109597012,0.6888428462783329,58.272580217378014,12.85103075181078,44.0,0,0,0,51,713.2,37.6,39.5,0.10435729847494553,0.027003441549366375
KNN (tuned),129.77637638765222,1.469562432345222,9.578319752293481,0.11124081145987941,0.987960941086886,0.988058281755137,0.11764705882352941,0.47526700230815583,0.6519234395536464,73.00625608345185,9.204095260134709,42.431372549019606,0.34503,10.405000686645508,0.07799005508422852,2.6097757270537225,0.030069828033447266,1.0,1.0,0.0,0.456326948689309,0.7306630491754541,58.272580217378014,2.2192320534223704,45.0,0,0,1,50,653.0,39.0,38.1,0.07930283224400872,0.029449093623517077
KNN (default),1.8986088995840036,0.1759517753825468,0.5259164666571766,0.03511341794167653,1.0,1.0,0.11764705882352941,0.5470241070005629,0.9099646127666197,1.049764217774364,2.1650106683540193,44.627450980392155,0.42464,0.2273859977722168,0.03137516975402832,0.0509044812778989,0.01926569938659668,1.0,1.0,0.0,0.5196494204127793,1.0,1.0,1.4495271718572689,46.0,0,0,0,51,475.2,38.0,42.9,0.030501089324618737,0.0226463643570059
