task_id,dataset_name,problem_type,context_len,use_chunk,chunk_size,seed,fit_time_s,eval_time_s,fit_mem_mb,eval_mem_mb,auc,acc,r2,rmse
363618,bank-marketing,binary,8000,0,256,1,0.33136400498915464,1.0547581930295564,8.125,1080.23876953125,0.748037198764697,0.8925135463894726,0,0
363628,customer_satisfaction_in_airline,binary,4000,0,256,1,0.33593098900746554,2.278432557999622,8.125,3198.8818359375,0.9870103461105695,0.9388666461348938,0,0
363630,Diabetes130US,binary,4000,0,256,1,0.35304825502680615,2.1361336759873666,8.125,3452.48681640625,0.6245909939048281,0.9119826621923938,0,0
363631,diamonds,regression,5000,0,256,1,0.5846954159787856,1.9124966290546581,8.125,5363.65625,0,0,0.9809155464172363,546.3189601780264
363618,bank-marketing,binary,9000,0,256,1,0.3486994139966555,1.1628253770177253,8.125,1141.78125,0.7504834205913025,0.8933982085591065,0,0
363627,credit_card_clients_default,binary,8000,0,256,1,0.4818714869907126,1.3824223590199836,8.125,1747.826171875,0.7745907118302628,0.8268333333333333,0,0
363613,Amazon_employee_access,binary,20000,0,256,1,0.5287309759878553,2.1218255790299736,8.125,1442.71337890625,0.8315695469646309,0.9433933475740006,0,0
363628,customer_satisfaction_in_airline,binary,5000,0,256,1,0.3835113310487941,2.4913508219760843,8.125,3303.83544921875,0.9879642292967741,0.9424468740375731,0,0
363618,bank-marketing,binary,10000,0,256,1,0.35874994297046214,1.2914999449858442,8.125,1201.53125,0.7514734621744694,0.893177043016698,0,0
363627,credit_card_clients_default,binary,9000,0,256,1,0.4671440980164334,1.5671947280061431,8.125,1868.02734375,0.7743517208559618,0.8271666666666667,0,0
363630,Diabetes130US,binary,5000,0,256,1,0.3686963500222191,2.4070750279934146,8.125,3639.71875,0.6253797342917883,0.9119826621923938,0,0
363631,diamonds,regression,6000,0,256,1,0.6559860010165721,2.0614355449797586,8.125,5363.65625,0,0,0.9816650152206421,535.4840975696663
363616,APSFailure,binary,2000,0,256,1,0.7428229679935612,7.946712217002641,8.125,14864.6572265625,0.9812490330440078,0.988421052631579,0,0
363627,credit_card_clients_default,binary,10000,0,256,1,0.5000020379666239,1.753359107999131,8.125,1989.45068359375,0.7736813527856721,0.8256666666666667,0,0
363628,customer_satisfaction_in_airline,binary,6000,0,256,1,0.3406941629946232,2.7157238359795883,8.125,3409.734375,0.9883180294683197,0.942754850631352,0,0
363618,bank-marketing,binary,20000,0,256,1,0.5544108370086178,2.741689214017242,8.125,1811.68798828125,0.7516627348300748,0.8939511224151278,0,0
363631,diamonds,regression,7000,0,256,1,0.7068963400088251,2.2274281830177642,8.125,5363.65625,0,0,0.9816375970840454,535.884957336927
363630,Diabetes130US,binary,6000,0,256,1,0.44226975401397794,2.703750131011475,8.125,3905.41064453125,0.6297112000952285,0.9119826621923938,0,0
