task_id,dataset_name,problem_type,context_len,use_chunk,chunk_size,seed,fit_time_s,eval_time_s,fit_mem_mb,eval_mem_mb,auc,acc,r2,rmse
363631,diamonds,regression,20000,1,256,1,5.024996186955832,7.8675957240047865,8.125,5363.65625,0,0,0.9822710752487183,526.559617944635
363616,APSFailure,binary,4000,1,256,1,1.4326918899896555,12.260837459994946,8.125,16587.02734375,0.9825944266788489,0.9895394736842106,0,0
363628,customer_satisfaction_in_airline,binary,20000,1,256,1,0.7087000969913788,9.81741278897971,8.125,4882.138671875,0.9898216151468475,0.9472205112411457,0,0
363630,Diabetes130US,binary,20000,1,256,1,1.049324354971759,12.009676730027422,8.125,6856.29296875,0.6296095174916911,0.9119826621923938,0,0
363631,diamonds,regression,30000,1,256,1,5.457857156987302,13.621677752002142,8.125,5363.65625,0,0,0.9824610352516174,523.7308170711362
363628,customer_satisfaction_in_airline,binary,30000,1,256,1,4.572080604033545,16.174772466009017,8.125,5946.75,0.9898320830499745,0.9469125346473668,0,0
363672,Food_Delivery_Time,regression,1000,1,256,1,0.8452315659960732,8.163481355994008,0.0,4526.318359375,0,0,0.27652156352996826,8.043368092016669
363672,Food_Delivery_Time,regression,2000,1,256,1,0.42760122095933184,1.473660330986604,8.125,4526.9208984375,0,0,0.2843744158744812,7.999596585592712
363616,APSFailure,binary,5000,1,256,1,1.5495816059992649,29.221623279969208,8.125,17448.2705078125,0.9817219430485762,0.9891447368421052,0,0
363672,Food_Delivery_Time,regression,3000,1,256,1,0.47357568598818034,1.6457551710191183,8.125,4526.9208984375,0,0,0.30631518363952637,7.87600967958397
363672,Food_Delivery_Time,regression,4000,1,256,1,0.5250612850068137,1.8408985189744271,8.125,4526.9208984375,0,0,0.31392157077789307,7.832709943707597
363630,Diabetes130US,binary,30000,1,256,1,7.850613729038741,21.391170863993466,8.125,8843.51806640625,0.6311146940190842,0.9119826621923938,0,0
363672,Food_Delivery_Time,regression,5000,1,256,1,0.589056039985735,2.0585590390255675,8.125,4526.9208984375,0,0,0.3202880024909973,7.796283462499085
363672,Food_Delivery_Time,regression,6000,1,256,1,0.6547649889835157,2.263049333007075,8.125,4526.9208984375,0,0,0.32086777687072754,7.792957980882283
363672,Food_Delivery_Time,regression,7000,1,256,1,0.701023562985938,2.5085578100406565,8.125,4526.9208984375,0,0,0.3306725025177002,7.736499224944597
363631,diamonds,regression,40000,1,256,1,5.889030422025826,21.142489921010565,8.125,5363.65625,0,0,0.9826272130012512,521.2441846198383
363620,Bioresponse,binary,3000,1,256,1,24.301208498014603,33.148918360006064,8.125,22382.765625,0.8424661447917261,0.7723035952063915,0,0
363672,Food_Delivery_Time,regression,8000,1,256,1,0.7381099250051193,2.776774526981171,8.125,4526.9208984375,0,0,0.32868289947509766,7.747989270645456
